bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/the-future-of-outdoor-cooking-bbq","2017-06-16T23:59:59-07:00","USD","11525","0.329285714286","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/up7ktdojmnbixsxc8twm.jpg","false","false","null","2017-04-17T17:37:44-07:00","null","null","null","null","null","867076","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A revolutionary solar-powered grill designed to take your BBQ into a whole new level...ANYWHERE!","[""design""]","THE FUTURE OF OUTDOOR COOKING & BBQ!"
"null","Productivity","/explore/productivity","/projects/p-s-mobile-business-card-scanner-organizer-app-with-ocr-repo","2012-12-31T23:59:59-08:00","USD","462","0.01848","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tqq8cwcnwpeiexodib2p.jpg","false","false","null","2012-12-06T00:24:51-08:00","null","null","null","null","null","251112","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We want to solve an age old problem - what to do with business cards we receive from others, how to organize them and find them easily when we need to.","[""other""]","P.S. Mobile Business Card Scanner Organizer App with OCR Repo"
"null","Home","/explore/home","/projects/hen-ultimate-home-and-garden-nozzles","2021-03-09T23:59:59-08:00","USD","2405","0.481","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sl0yt6n4mzrmjf4asnnu.jpg","false","false","null","2021-01-08T00:00:00-08:00","null","null","null","null","null","2647076","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Firefighting inspired, next-gen Home and Garden nozzles, for all your needs.","[""family"",""garden"",""water"",""cars""]","HEN Ultimate Home and Garden Nozzles"
"null","Dance & Theater","/explore/dance-theater","/projects/bring-the-ballet-to-brattleboro","2015-04-09T23:59:59-07:00","USD","85","0.0085","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bwakymq0vije3bkbqbjr.jpg","false","false","null","2015-02-23T10:48:58-08:00","null","null","null","null","null","1101077","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help SVDF bring Daniel Ulbricht, Principal  New York City Ballet and his dancers to the Latchis!","[""other""]","Bring the Ballet to Brattleboro"
"null","Dance & Theater","/explore/dance-theater","/projects/willkommen-help-bnt-put-on-a-beauuutiful-show","2016-04-10T23:59:59-07:00","USD","665","0.0665","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vqazh5lcr6x92cxcikjs.jpg","false","false","null","2016-02-10T16:01:09-08:00","null","null","null","null","null","1602763","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","WILLKOMMEN, BIENVENUE, WELCOME! HELP BIG NOISE THEATRE COMPANY CONTINUE MAKING NOISE IN 2016!","[""other""]","WILLKOMMEN! HELP BNT PUT ON A 'BEAUUUTIFUL' SHOW!!"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/canndoo-compost","2017-05-29T23:59:59-07:00","USD","1527","0.086944143939","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/daueogvktwzakowcwmjp.jpg","false","false","null","2017-04-09T09:42:47-07:00","null","null","null","null","concept","2063520","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","CannDoo™ is an environmentally beneficial solution for safe disposal of industrial cannabis waste.","[""other""]","CannDoo Compost"
"null","Productivity","/explore/productivity","/projects/wonder--3","2021-02-26T23:59:59-08:00","USD","15","0.00006","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rtjbi9nqjz5dfwxsnxgv.jpg","false","false","null","2020-12-28T00:00:00-08:00","null","null","null","null","concept","2651480","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A Company offers to connect you to a life saving system which could change our entire driving world","[""cars"",""safety""]","Wonder"
"null","Video Games","/explore/video-games","/projects/2015-uganda-mission-trip","2015-06-17T23:59:59-07:00","USD","1330","0.266","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sqmz7v6rguv4a1kdxktf.jpg","false","false","null","2015-04-18T22:35:13-07:00","null","null","null","null","null","1231728","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","2015 BMI  mission trip will support the ""Dream Project"" to bring dream to the orphans in Uganda","[""other""]","2015 Uganda Mission Trip"
"null","Education","/explore/education","/projects/pay-it-forward-travel-help-teens-see-the-world","2015-06-13T23:59:59-07:00","USD","85","0.001416666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/opnjzkv1tihwqpvjo7zh.jpg","false","false","null","2015-04-14T16:56:39-07:00","null","null","null","null","null","1225961","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help teens gain a better world view by sending them out to see the world, and help others do it too!","[""other""]","Pay it Forward Travel--help teens see the world!"
"null","Music","/explore/music","/projects/amanda-raye-debut-ep","2015-10-25T23:59:59-07:00","USD","1923","0.274714285714","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/utwsjqjlgvfpmhfp9lr5.jpg","false","false","null","2015-09-10T15:58:03-07:00","null","null","null","null","null","1389961","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Pre-order Amanda Raye's Debut EP! Check out the other perks too!!!","[""other""]","Amanda Raye Debut EP!"
"null","Art","/explore/art","/projects/art-by-peleegirl-colouring-books","2015-09-25T23:59:59-07:00","CAD","1284","0.428","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uj487whqh5a2aw6q5s8y.jpg","false","false","null","2015-08-16T19:54:29-07:00","null","null","null","null","null","1374033","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Bringing creativity and nature together in a place where you can reconnect with your inner child.","[""other""]","Art by Peleegirl Colouring Books"
"null","Culture","/explore/culture","/projects/a-safe-haven-for-syrian-children","2018-10-04T23:59:59-07:00","USD","1229","0.2458","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nvtrswym8ekkg8kffaf5.jpg","false","false","null","2018-08-05T11:08:29-07:00","null","null","null","null","null","2405020","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Art - Education - Community -","null","A Safe Haven for Syrian Children"
"null","Food & Beverages","/explore/food-beverages","/projects/give-hopsters-co-op-a-home","2019-10-01T23:59:59-07:00","AUD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dgpugmc12vpn9vikat7y.jpg","false","false","null","2019-09-01T00:00:00-07:00","null","null","null","null","null","2510582","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We are Australia first cooperative brewery, looking to raise funds to launch and operate.","[""beer"",""family"",""first-time founders"",""community""]","Give Hopsters Co-op  a home!"
"null","Education","/explore/education","/projects/kansas-city-freedom-schools-initiative","2015-06-01T23:59:59-07:00","USD","300","0.00375","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zv5zrt6vevrv02oh68rc.jpg","false","false","null","2015-04-17T14:57:53-07:00","null","null","null","null","null","1165285","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Empowering Children & Families to Make A Difference in Their Community, Their Country and The World","[""other""]","Kansas City Freedom Schools Initiative"
"null","Music","/explore/music","/projects/my-next-album-be-a-part-of-making-it-happen","2020-06-20T23:59:59-07:00","GBP","13073","1.6764","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/r26a0jcyqxwydpagnwvd.jpg","true","false","null","2020-05-21T00:00:00-07:00","null","null","null","null","null","2604497","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Pre-order a signed CD or download now, or book a private online gig.","[""album""]","My next album - be a part of making it happen!"
"null","Transportation","/explore/transportation","/projects/maurer-s-minute-mechanic-know-go","2019-04-24T23:59:59-07:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/s8lfso48piemioqm8biv.jpg","false","false","null","2019-03-25T00:00:00-07:00","null","null","null","null","prototype","2480839","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","You're driving and the engine light goes on. What if peace of mind was just down the road, any time?","[""apps"",""cars"",""mobile apps""]","MAURER's MINUTE MECHANIC  -- Know & Go"
