bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Food & Beverages","/explore/food-beverages","/projects/outrun-brewing-company","2019-10-03T23:59:59-07:00","USD","1050","0.042","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/d8rfjrsaulfgrg0kqtut.jpg","false","false","null","2019-08-04T00:00:00-07:00","null","null","null","null","concept","2513007","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Outrun Brewing Co. Beer Lovers Layaway Membership","[""beer""]","Outrun Brewing Company"
"null","Transportation","/explore/transportation","/projects/movpak-electric-transportation-backpack-in-one","2016-06-14T23:59:59-07:00","USD","263163","4.11718","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bxwu9it8hmmcyawtrtqt.jpg","false","false","null","2016-05-10T09:45:32-07:00","null","null","null","null","shipping","1740469","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The first portable electric transportation & backpack is ready to ship.","[""backpacks""]","Movpak: Electric Transportation & Backpack In One"
"null","Video Games","/explore/video-games","/projects/steamdolls-order-of-chaos","2020-09-27T23:59:59-07:00","EUR","95238","3.160933333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zrf9p85ewar5x6kmprkc.jpg","true","false","null","2020-09-26T23:59:59-07:00","null","null","null","null","null","2614996","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","SteamDolls, a steampunk metroidvania game with a grimy touch of brutality","[""adventure""]","SteamDolls - Order Of Chaos"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/icon-xl3-sneaker-line","2015-08-15T23:59:59-07:00","USD","100","0.00001","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xauxvwln2eqgzwsblls7.jpg","false","false","null","2015-06-16T07:16:57-07:00","null","null","null","null","null","1263732","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Icon Sneakers for every day, every sport, and every game, Icon Sneaker reflects who you are.","[""other""]","Icon XL3 Sneaker Line"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/tourit-zoom-trailer-the-world-s-coolest-cooler-bag","2019-05-16T23:59:59-07:00","USD","1828","0.0914","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nvkvy5dq9kjazwcrutwz.jpg","false","false","null","2019-04-16T00:00:00-07:00","null","null","null","null","null","2477652","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A new commuter bag for day-trippers. Drinks have never been this cold!","[""bags"",""adventure"",""backpacks"",""camping"",""sports""]","TOURIT ZOOM TRAILER:The World's Coolest Cooler Bag"
"null","Phones & Accessories","/explore/phones-accessories","/projects/app-connected-electromagnetic-door-lock","2016-12-10T23:59:59-08:00","GBP","160","0.0032","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qva2omx89mfnzxbcrejp.jpg","false","false","null","2016-10-11T07:57:25-07:00","null","null","null","null","concept","1908730","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We are going to mass manufacture the worlds first home electromagnetic door lock with app-connect","[""other""]","App-Connected Electromagnetic Door Lock"
"null","Local Businesses","/explore/local-businesses","/projects/3d-is-coming-here-enjoy-your-feet","2016-03-07T23:59:59-08:00","CAD","2220","0.201818181818","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gsaziykriqln75cvitsi.jpg","false","false","null","2016-01-07T11:35:22-08:00","null","null","null","null","null","1591109","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Ashfield Orthotics is creating the 1st independent 3D lab for orthotics in the Canadian prairies!","[""3d printers""]","3D is coming. Here. Enjoy your feet!"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/just-imagine-flying-indoors-in-2016","2016-02-26T23:59:59-08:00","USD","75","0.0006","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/llga50rzv01htxuvqnfe.jpg","false","false","null","2016-01-15T14:18:36-08:00","null","null","null","null","null","1602886","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Imagine flying your Drone over a makeshift city of five foot buildings in  a INDOOR ARENA","[""other""]","Just Imagine Flying Indoors in 2016"
"null","Audio","/explore/audio","/projects/help-me-grow-my-podcast","2017-03-26T23:59:59-07:00","USD","255","0.255","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/k9t8gasftd6eiobhczxs.jpg","false","false","null","2017-01-25T13:21:23-08:00","null","null","null","null","null","2019996","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","By supporting me, you support the voices of talented LGBTQ+ folks following their passions.","[""other""]","Help me Grow my Podcast!"
"null","Human Rights","/explore/human-rights","/projects/closed--132","2013-12-11T23:59:59-08:00","USD","24","0.0024","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/yf9elie4rcar1ogqwpmt.jpg","false","false","null","2013-11-08T22:08:15-08:00","null","null","null","null","null","584286","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Closed!","[""other""]",".. closed"
"null","Writing & Publishing","/explore/writing-publishing","/projects/the-untold-narratives","2021-02-17T23:59:59-08:00","USD","3170","0.634","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/r7i6jfxsbqbptbyx5uaz.jpg","false","false","null","2021-01-03T00:00:00-08:00","null","null","null","null","null","2651239","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Untold Narratives is a grassroots storytelling initiative for anyone who can navigate to a website.","[""community"",""first-time founders"",""female founders"",""founders of color"",""websites""]","The Untold Narratives"
"null","Video Games","/explore/video-games","/projects/bot-net-ramshackle-robotics","2020-03-11T23:59:59-07:00","CAD","5880","0.138352941176","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lmvhdftqtu7sjizsebqg.jpg","false","false","null","2020-02-10T00:00:00-08:00","null","null","null","null","null","2548293","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Build your bots, command your army, defeat the aliens!","[""indie"",""pc"",""robots"",""computers"",""kids""]","Bot Net: Ramshackle Robotics"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/wesley-yu-design-made-in-italy-without-markups","2015-08-06T23:59:59-07:00","USD","285","0.007215189873","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qhp26ttehkxoymgrk5ni.jpg","false","false","null","2015-06-27T20:11:15-07:00","null","null","null","null","null","1320260","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Wesley Yu Design brings luxurious, Italian made designer fashion at affordable prices.","[""other""]","Wesley Yu Design: Made in Italy without Markups"
"null","Audio","/explore/audio","/projects/noga-sound-solutions-vol-1-audio-rx-for-today-s-world","2014-07-13T23:59:59-07:00","USD","7848","0.62784","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jxl3tztrkurcgxh0qrmv.jpg","false","false","null","2014-05-19T04:34:07-07:00","null","null","null","null","null","673073","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Listen Your Way To Wellness: Audio Rx for Today's World - A selection of simple, brief audio excursions to enhance daily life.","[""other""]","NOGA Sound Solutions, Vol. 1 - . . . Audio Rx for Today's World"
"null","Photography","/explore/photography","/projects/project-uncovered","2017-10-05T23:59:59-07:00","CAD","1956","0.3912","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lej5c9w88d74cgpxhj81.jpg","false","false","null","2017-08-06T18:06:24-07:00","null","null","null","null","null","2184152","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Increasing the diversity in imagery. Representation matters.","[""books"",""founders of color""]","Project: Uncovered "
"null","Camera Gear","/explore/camera-gear","/projects/alpha-the-world-s-smallest-4k-action-camera","2017-02-19T23:59:59-08:00","USD","468638","12.38392","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zuuafvovi4xkvo2tqvi8.jpg","false","false","null","2016-12-14T07:00:48-08:00","null","null","null","null","prototype","1982904","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Alpha is the smallest and most powerful action camera designed to capture your next adventure.","[""sports""]","Alpha - The World's Smallest 4K Action Camera"
"null","Productivity","/explore/productivity","/projects/piggybank","2016-07-22T23:59:59-07:00","EUR","75","0.00125","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/d9bxb7y4w3tuogw1hu8z.jpg","false","false","null","2016-05-23T14:13:39-07:00","null","null","null","null","null","1684015","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Sicher deine finanzielle Zukunft / Secure your financial Future","[""other""]","PiggyBank"
"null","Video Games","/explore/video-games","/projects/lost-sol","2017-04-30T23:59:59-07:00","USD","5210","0.578888888889","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bddmkn5neg5xto91gpl1.jpg","false","false","null","2017-03-31T08:13:47-07:00","null","null","null","null","null","2071743","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","In a post-apocalyptic future, explore the remnants of humanity, and build your ship to survive.","[""other""]","Lost Sol"
"null","Human Rights","/explore/human-rights","/projects/home4kids-healing-architecture","2020-04-07T23:59:59-07:00","EUR","635","0.141111111111","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ij0hzvhjijmnkmcmnnbn.jpg","false","false","null","2020-02-07T00:00:00-08:00","null","null","null","null","null","2579597","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Designing a children’s village in the Philippines with the help of Intuitive-Holistic-Architecture.","[""kids"",""social innovations""]","Home4Kids Healing Architecture"
"null","Music","/explore/music","/projects/isha-krishna-debut-album","2017-02-05T23:59:59-08:00","USD","2960","0.37","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ivnrtzd4tfbwwghtlwxi.jpg","false","false","null","2017-01-15T20:57:43-08:00","null","null","null","null","null","2004292","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Raising funds to create our first album together as a duo.","[""yoga""]","Isha & Krishna debut album"
"null","Writing & Publishing","/explore/writing-publishing","/projects/transgender-boys-children-s-book","2019-04-02T23:59:59-07:00","USD","780","0.078","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wqqyk6jhbljrrdyqkh8s.jpg","false","false","null","2019-02-01T00:00:00-08:00","null","null","null","null","null","2432372","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Ryder shares his first journey, expressing to his family that he is a boy born in a girls body.","[""lgbtq"",""kids"",""books"",""family"",""love""]","Transgender Boys Children's Book"
"null","Health & Fitness","/explore/health-fitness","/projects/acceleru-the-ultimate-motion-device","2019-07-28T23:59:59-07:00","GBP","1918","0.3836","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/b4qbyg4xqtigbq3jprwr.jpg","false","false","null","2019-06-28T00:00:00-07:00","null","null","null","null","prototype","2496557","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Wear. Embed. Accelerate. 
A device to monitor & track acceleration, rotational motion and G-force.","[""iot"",""sensor"",""trackers"",""professional"",""sports""]","AccelerU: The Ultimate Motion Device"
"null","Phones & Accessories","/explore/phones-accessories","/projects/4-dac-shield-for-arduino-and-other-platforms","2016-03-07T23:59:59-08:00","USD","215","0.43","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/woaihqx5nadm2pbuxx3z.jpg","false","false","null","2016-01-07T06:37:49-08:00","null","null","null","null","null","1531123","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","4DAC+ is a shield, with 4 analog output channels, compatible with the Arduino board ...and others!","[""arduino""]","4 DAC Shield for Arduino ...and other platforms!"
"null","Comics","/explore/comics","/projects/e-mortal-issue-2","2020-12-04T23:59:59-08:00","USD","125","0.095932463546","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nxgjcdp7nyqzg2weqtmg.jpg","false","false","null","2020-11-04T00:00:00-08:00","null","null","null","null","null","2638619","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We are raising funds to produce the second issue of the dark futuristic noir comic series E-Mortal.","[""animation"",""indie"",""thriller"",""adventure""]","E-MORTAL - Issue #2"
"null","Culture","/explore/culture","/projects/in-the-soil-arts-festival-year-10","2018-06-03T23:59:59-07:00","CAD","6041","0.6041","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qkfyrisgmmyebx0bjrts.jpg","false","false","null","2018-04-15T06:46:47-07:00","null","null","null","null","null","2354944","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help us celebrate 10 years of bringing the most anticipated multi-arts festival to St. Catharines.","[""community"",""festival""]","In the Soil Arts Festival - Year 10"
"null","Web Series & TV Shows","/explore/web-series-tv-shows","/projects/layered-explores-the-heart-and-humor-in-life","2018-10-22T23:59:59-07:00","USD","1348","0.044933333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/em9vlnyvjybg4ojhpgv5.jpg","false","false","null","2018-09-17T00:00:00-07:00","null","null","null","null","null","2413768","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Three diverse women  pursue their dream careers despite everyday life trial and tribulations.","[""comedy"",""drama"",""women"",""community""]","Layered explores the heart and humor in life."
"null","Tabletop Games","/explore/tabletop-games","/projects/gridiron-powerrun-realtime-gridiron-table-game","2017-05-31T23:59:59-07:00","USD","30","0.002","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jvgekd8qrbqqnxvhintv.jpg","false","false","null","2017-05-01T17:53:51-07:00","null","null","null","null","null","2040589","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Fast-paced, action-packed table game with unique game play. Score touchdowns, avoid crunch tackles!","[""sports""]","Gridiron PowerRun: Realtime gridiron table game"
"null","Photography","/explore/photography","/projects/gagged-the-book","2014-03-07T23:59:59-08:00","USD","2830","0.332941176471","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/yv4jvwonuulhvdaxg8th.jpg","false","false","null","2014-02-05T12:33:47-08:00","null","null","null","null","null","671254","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help fund AVN Hall of Fame Director/Photographer Julie Simone's 1st self published book feat Gagged men & women in a variety of oral predicaments","[""other""]","Gagged the Book"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/research-internship-at-montreal-university","2018-06-13T23:59:59-07:00","USD","1800","1.125","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rmhmthjk1utrgscbe71o.jpg","false","false","null","2018-05-24T12:11:28-07:00","null","null","null","null","concept","2380447","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Contribution to the design and implementation of analog building block for generic sensor interface","[""design"",""computers""]","Research Internship at Montreal University"
"null","Wellness","/explore/wellness","/projects/little-green-monster-cancer-magic","2018-06-02T23:59:59-07:00","USD","7821","1.076142857143","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zjmvfeeqohudjdam3jzl.jpg","false","false","null","2018-04-03T08:24:09-07:00","null","null","null","null","null","2336341","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help us publish and donate a magical children's book about a family thriving through cancer.","[""kids"",""kids""]","Little Green Monster: Cancer Magic"
"null","Writing & Publishing","/explore/writing-publishing","/projects/livro-de-contos-bilingue-libro-de-cuentos","2017-09-16T23:59:59-07:00","USD","965","0.839130434783","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/aoffq4v9t1dofggxjq9c.jpg","false","false","null","2017-08-15T08:51:21-07:00","null","null","null","null","null","2192345","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Onde a chuva sempre te leva algum lugar - Donde la lluvia siempre te lleva a algún lugar.","[""other""]","livro de contos bilingue - libro de cuentos"
"null","Art","/explore/art","/projects/help-birth-ladyscumbag","2018-04-19T23:59:59-07:00","USD","5900","0.59","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dyoszeqznhscnph2egm7.jpg","false","false","null","2018-02-18T18:29:18-08:00","null","null","null","null","null","2336616","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","An interactive art exhibit and website that brings femmes together to create Our own privilege.","[""female founders"",""websites""]","Help birth LADYSCUMBAG"
"null","Education","/explore/education","/projects/virgin-islands-children-s-museum","2015-11-27T23:59:59-08:00","USD","2293","0.041690909091","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nwirajrv4vw5cgfznsen.jpg","false","false","null","2015-10-28T03:39:01-07:00","null","null","null","null","null","1019751","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help Build the Virgin Islands Children's Museum!
Just $1 (But you can give as much as you want!)","[""kids"",""kids""]","Virgin Islands Children's Museum"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/lisa-n-hoang-charleston-fashion-week-2016","2016-02-24T23:59:59-08:00","USD","500","0.0625","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tsc5eiyogtr5dacxytlg.jpg","false","false","null","2016-01-25T23:09:19-08:00","null","null","null","null","null","1616603","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Lisa N. Hoang is a competing emerging designer seeking funding for her CHSFW collection.","[""other""]","Lisa N. Hoang: Charleston Fashion Week 2016."
"null","Comics","/explore/comics","/projects/manga-fundraiser--2","2020-05-27T23:59:59-07:00","USD","145","0.048333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bpano7k9phfwbwnpgbnq.jpg","false","false","null","2020-04-26T00:00:00-07:00","null","null","null","null","null","2599312","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","This Campaign will help us fund for the project, including trademarking, copyrighting, and printing!","[""romance"",""love"",""adventure""]","Manga Fundraiser"
"null","Tabletop Games","/explore/tabletop-games","/projects/trade-war-card-game","2020-01-19T23:59:59-08:00","SGD","456","0.456","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kylf6g3vm4eysgugjkog.jpg","false","false","null","2019-12-20T00:00:00-08:00","null","null","null","null","null","2568633","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","'End' the  trade war and engage in world politics in a light-hearted manner.","[""toys"",""comedy"",""design"",""first-time founders"",""other""]","Trade War Card Game"
"null","Human Rights","/explore/human-rights","/projects/rohingya-emergency-relief--3","2017-11-25T23:59:59-08:00","USD","240","0.048","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hwztwsuqesiiofiro89o.jpg","false","false","null","2017-10-06T15:07:57-07:00","null","null","null","null","null","2236252","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help us provide 480,000 Rohingya refugees with emergency relief kits with food, water and medicine!","[""water""]","Rohingya Emergency Relief"
"null","Video Games","/explore/video-games","/projects/cyber-jacks-a-new-gaming-cafe-in-southall","2015-09-20T23:59:59-07:00","GBP","11","0.000733333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bd3t2lo10paccmpy0odn.jpg","false","false","null","2015-07-22T05:54:38-07:00","null","null","null","null","null","1362998","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Southall needs more fun places to hang out, and what better place than a gaming cafe?","[""other""]","Cyber Jacks - A new gaming cafe in Southall"
"null","Human Rights","/explore/human-rights","/projects/champions-against-human-trafficking","2014-10-22T23:59:59-07:00","USD","172","0.011466666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nv2s7frkbbllzpuas29s.jpg","false","false","null","2014-09-07T09:12:23-07:00","null","null","null","null","null","929882","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Dancing with Purpose","[""other""]","Champions Against Human Trafficking"
